Scenario ID,Description,Employment Type,Applicant Type,Gen H Amount,Market Average,Gen H Rank,Total Lenders,Accord,Barclays,Clydesdale,Coventry,Gen H,HSBC,Halifax,Kensington,Leeds,Metro,Nationwide,Newcastle,Nottingham,Precise,Principality,Santander,Skipton
single_employed_20k,"Sole applicant, employed, £20k",Employed,Single,86206,81127,9,16,89800,89800,87800,77000,86206,57450,58985,80000,89800,58693,80900,86560,0,94900,81389,89000,89750
single_self_employed_20k,"Sole applicant, self-employed, £20k",Self-Employed,Single,87949,62225,2,13,67350,67350,0,78900,87949,0,20510,80000,67350,0,35700,58878,0,94900,55402,46645,48000
single_employed_30k,"Sole applicant, employed, £30k",Employed,Single,134700,133913,3,15,134700,134700,132700,150000,134700,134700,134700,120000,0,119334,134700,134700,0,142400,133362,133500,134500
single_self_employed_30k,"Sole applicant, self-employed, £30k",Self-Employed,Single,134700,104128,3,16,101025,101025,99025,150000,134700,67150,78225,120000,101025,73853,101100,101025,0,142400,94382,100125,101000
joint_employed_40k,"Joint applicants, employed, £40k total",Employed,Joint,179600,180225,4,12,0,179600,177600,200000,179600,0,190000,160000,0,171397,0,179600,0,189900,177511,178000,179500
joint_self_employed_40k,"Joint applicants, self-employed, £40k total",Self-Employed,Joint,359200,351046,4,12,0,350000,348000,400000,359200,0,314300,359200,0,311500,0,350000,0,379900,305458,350000,385000
single_employed_50k,"Sole applicant, employed, £50k",Employed,Single,275000,243337,1,16,250000,250000,248000,250000,275000,237500,275000,224500,250000,222500,224500,250000,0,237400,224500,250000,224500
single_self_employed_50k,"Sole applicant, self-employed, £50k",Self-Employed,Single,224500,187865,3,16,168375,168375,166375,250000,224500,168350,168375,224500,0,164815,168400,168375,224500,237400,168375,166875,168250
joint_employed_50k,"Joint applicants, employed, £50k total",Employed,Joint,275000,248050,1,8,0,250000,0,250000,275000,0,275000,224500,0,222500,0,0,0,237400,0,250000,0
joint_self_employed_50k,"Joint applicants, self-employed, £50k total",Self-Employed,Joint,449000,462301,7,12,0,481250,435500,500000,449000,0,481250,600000,0,389375,0,437500,0,474900,380094,437500,481250
single_employed_60k,"Sole applicant, employed, £60k",Employed,Single,330000,295818,1,16,300000,300000,298000,300000,330000,285000,330000,269400,300000,267000,269400,300000,0,284900,269400,300000,330000
single_self_employed_60k,"Sole applicant, self-employed, £60k",Self-Employed,Single,269400,229085,3,17,202050,225000,200050,300000,269400,213750,202050,269400,225000,200250,202100,202050,269400,284900,202050,225000,202000
joint_employed_60k,"Joint applicants, employed, £60k total",Employed,Joint,330000,297675,1,12,0,300000,298000,300000,330000,0,330000,269400,0,267000,0,300000,0,284900,262809,300000,330000
joint_self_employed_60k,"Joint applicants, self-employed, £60k total",Self-Employed,Joint,538800,567233,9,12,0,577500,523000,600000,538800,0,577500,720000,0,577500,0,525000,0,569900,442604,577500,577500
single_employed_80k,"Sole applicant, employed, £80k",Employed,Single,440000,399279,1,16,400000,440000,438000,400000,440000,380000,440000,359200,400000,356000,359200,400000,0,379900,356172,400000,440000
single_self_employed_80k,"Sole applicant, self-employed, £80k",Self-Employed,Single,359200,314452,3,17,300000,300000,298000,400000,359200,285000,269400,359200,300000,267000,269400,300000,359200,379900,269400,300000,330000
joint_employed_80k,"Joint applicants, employed, £80k total",Employed,Joint,440000,403433,1,12,0,440000,438000,400000,440000,0,440000,359200,0,356000,0,400000,0,379900,348107,400000,440000
joint_self_employed_80k,"Joint applicants, self-employed, £80k total",Self-Employed,Joint,718400,751760,9,12,0,770000,698000,800000,718400,0,770000,960000,0,770000,0,700000,0,759900,554820,750000,770000
single_employed_100k,"Sole applicant, employed, £100k",Employed,Single,550000,518266,2,16,500000,550000,548000,500000,550000,550000,550000,600000,500000,485182,449000,500000,0,474900,435188,550000,550000
single_self_employed_100k,"Sole applicant, self-employed, £100k",Self-Employed,Single,449000,410214,4,12,0,412500,373000,500000,449000,356250,336750,600000,0,333750,0,375000,0,474900,336418,375000,0
joint_employed_100k,"Joint applicants, employed, £100k total",Employed,Joint,550000,531049,2,11,0,550000,548000,0,550000,0,550000,600000,0,535242,0,500000,0,474900,433406,550000,550000
joint_self_employed_160k,"Joint applicants, self-employed, £160k total",Self-Employed,Joint,1000000,1300295,7,11,0,950000,950000,1600000,1000000,0,1540000,1813348,0,1540000,0,950000,0,1519900,0,900000,1540000
joint_employed_160k,"Joint applicants, employed, £160k total",Employed,Joint,880000,827838,2,12,0,880000,850000,800000,880000,0,880000,960000,0,828976,0,800000,0,759900,615188,800000,880000
joint_self_employed_100k,"Joint applicants, self-employed, £100k total",Self-Employed,Joint,898000,928655,8,12,0,950000,873000,1000000,898000,0,962500,1200000,0,962500,0,875000,0,949900,660464,850000,962500
joint_self_employed_200k,"Joint applicants, self-employed, £200k total",Self-Employed,Joint,1000000,1417295,7,11,0,950000,950000,2000000,1000000,0,1925000,0,0,1925000,0,950000,0,1899900,1165355,900000,1925000
