Scenario_ID,Description,Gen_H_Amount,Market_Average,Gen_H_Rank,Total_Lenders,Accord,Barclays,Clydesdale,Coventry,Gen H,Halifax,HSBC,Kensington,Leeds,Metro,Nationwide,Newcastle,Precise,Principality,Santander,Skipton
single_employed_20k,Sole applicant employed £20k,86206,81127,9,15,89800,89800,87800,77000,86206,58985,57450,80000,89800,58693,80900,86560,94900,81389,89000,89750
single_self_employed_20k,Sole applicant self-employed £20k,87949,62226,2,13,67350,67350,0,78900,87949,20510,0,80000,67350,0,35700,58878,94900,55402,46645,48000
single_employed_30k,Sole applicant employed £30k,134700,133913,3,15,134700,134700,132700,150000,134700,134700,134700,120000,134700,119334,134700,134700,142400,133362,133500,134500
single_self_employed_30k,Sole applicant self-employed £30k,134700,107508,2,13,101025,101025,100200,150000,134700,73975,0,120000,101025,0,101100,101025,142400,96708,100125,101000
single_employed_40k,Sole applicant employed £40k,179600,179067,5,15,179600,179600,177000,195000,179600,179600,179600,160000,179600,154000,179600,179600,189900,173889,178000,179500
single_self_employed_40k,Sole applicant self-employed £40k,179600,143344,1,13,134700,134700,133600,195000,179600,96250,0,160000,134700,0,134800,134700,189900,128944,133500,134600
joint_employed_40k,Joint applicants employed £40k,179600,174267,6,15,179600,179600,177000,195000,179600,179600,172950,160000,179600,154000,179600,179600,189900,173889,178000,179500
joint_self_employed_40k,Joint applicants self-employed+employed £40k,179600,137877,1,13,134700,134700,133600,195000,179600,84125,0,160000,134700,0,134800,134700,189900,119111,133500,134600
single_employed_50k,Sole applicant employed £50k,224500,219933,6,15,224500,224500,221250,243750,224500,224500,224500,200000,224500,190000,224500,224500,237400,217361,222500,224375
joint_employed_50k,Joint applicants employed £50k,224500,215133,6,15,224500,224500,221250,243750,224500,224500,216188,200000,224500,190000,224500,224500,237400,217361,222500,224375
single_employed_60k,Sole applicant employed £60k,269400,264600,6,15,269400,269400,265500,292500,269400,269400,269400,240000,269400,225750,269400,269400,284800,260833,267000,269250
joint_employed_60k,Joint applicants employed £60k,269400,259800,6,15,269400,269400,265500,292500,269400,269400,259425,240000,269400,225750,269400,269400,284800,260833,267000,269250
single_self_employed_60k,Sole applicant self-employed £60k,269400,215123,1,13,202050,202050,200700,292500,269400,143250,0,240000,202050,0,202200,202050,284800,193417,200250,202000
joint_self_employed_60k,Joint applicants self-employed+employed £60k,269400,207308,1,13,202050,202050,200700,292500,269400,125125,0,240000,202050,0,202200,202050,284800,178000,200250,202000
single_employed_80k,Sole applicant employed £80k,359200,352867,6,15,359200,359200,354000,390000,359200,359200,359200,320000,359200,301750,359200,359200,379700,347778,356000,359000
joint_employed_80k,Joint applicants employed £80k,359200,348067,6,15,359200,359200,354000,390000,359200,359200,345900,320000,359200,301750,359200,359200,379700,347778,356000,359000
joint_self_employed_80k,Joint applicants self-employed+employed £80k,359200,276615,1,13,269400,269400,267600,390000,359200,166625,0,320000,269400,0,269600,269400,379700,237333,267000,269200
single_employed_100k,Sole applicant employed £100k,449000,440333,6,15,449000,449000,442500,487500,449000,449000,449000,400000,449000,377000,449000,449000,474600,434722,445000,448750
joint_employed_100k,Joint applicants employed £100k,449000,435533,6,15,449000,449000,442500,487500,449000,449000,432375,400000,449000,377000,449000,449000,474600,434722,445000,448750
single_self_employed_100k,Sole applicant self-employed £100k,449000,358892,1,13,336750,336750,334500,487500,449000,214750,0,400000,336750,0,337000,336750,474600,322639,333750,336500
joint_self_employed_100k,Joint applicants self-employed+employed £100k,449000,345315,1,13,336750,336750,334500,487500,449000,187875,0,400000,336750,0,337000,336750,474600,296417,333750,336500
single_employed_120k,Sole applicant employed £120k,538800,528400,6,15,538800,538800,531000,585000,538800,538800,538800,480000,538800,452250,538800,538800,569500,521667,534000,538500
joint_employed_120k,Joint applicants employed £120k,538800,523600,6,15,538800,538800,531000,585000,538800,538800,518850,480000,538800,452250,538800,538800,569500,521667,534000,538500
joint_self_employed_120k,Joint applicants self-employed+employed £120k,538800,414369,1,13,404100,404100,401400,585000,538800,225125,0,480000,404100,0,404400,404100,569500,355500,400500,403800
single_employed_160k,Sole applicant employed £160k,718400,705067,6,15,718400,718400,708000,780000,718400,718400,718400,640000,718400,603000,718400,718400,759300,695556,712000,718000
joint_employed_160k,Joint applicants employed £160k,718400,700267,6,15,718400,718400,708000,780000,718400,718400,691800,640000,718400,603000,718400,718400,759300,695556,712000,718000
