Scenario_ID,Description,Gen_H_Amount,Market_Average,Gen_H_Rank,Total_Lenders,Accord,Atom,Barclays,Clydesdale,Coventry,Gen H,HSBC,Halifax,Kensington,Leeds,Metro,Nationwide,Newcastle,Nottingham,Precise,Principality,Santander,Skipton
single_employed_20k,"Sole applicant, employed, £20k",86206,80487,9,17,89800,0,89800,87800,77000,86206,57450,58985,80000,89800,58693,80900,86560,70250,94900,81389,89000,89750
single_self_employed_20k,"Sole applicant, self-employed, £20k",87949,63423,2,14,67350,0,67350,0,78900,87949,0,20510,80000,67350,0,35700,58878,78999,94900,55402,46645,48000
single_employed_25k,"Sole applicant, employed, £25k",112250,109178,4,17,112250,0,112250,110250,114700,112250,103050,109820,100000,112250,89014,112300,112250,106074,118700,107375,111250,112250
single_self_employed_25k,"Sole applicant, self-employed, £25k",112250,83478,3,17,84187,0,84187,82188,118000,112250,32750,49365,100000,84188,51113,69600,84188,112250,118700,74892,80769,80500
single_employed_30k,"Sole applicant, employed, £30k",134700,134005,3,17,134700,0,134700,132700,150000,134700,134700,134700,120000,134700,119334,134700,134700,134700,142400,133362,133500,134500
single_self_employed_30k,"Sole applicant, self-employed, £30k",134700,105927,3,17,101025,0,101025,99025,150000,134700,67150,78225,120000,101025,73853,101100,101025,134700,142400,94382,100125,101000
single_employed_40k,"Sole applicant, employed, £40k",220000,184619,1,18,179600,173353,179600,177600,200000,220000,179600,190000,179600,200000,178000,179600,179600,179600,189900,179600,178000,179500
single_self_employed_40k,"Sole applicant, self-employed, £40k",220000,150905,1,17,134700,0,134700,132700,200000,220000,134700,134700,179600,134700,119334,134700,134700,179600,189900,133362,133500,134500
joint_employed_40k,"Joint applicants, employed, £40k total",204644,182541,1,18,179600,179600,179600,177600,200000,204644,179600,190000,160000,200000,171397,179600,179600,179600,189900,177511,178000,179500
joint_self_employed_40k,"Joint applicants, self-employed, £40k total",220000,164435,1,18,157150,157150,157150,155150,200000,220000,130400,157150,160000,157150,155750,157200,157150,179600,189900,156187,155750,157000
single_employed_50k,"Sole applicant, employed, £50k",275000,241244,1,18,250000,224500,250000,248000,250000,275000,237500,275000,224500,250000,222500,224500,250000,224500,237400,224500,250000,224500
single_self_employed_50k,"Sole applicant, self-employed, £50k",275000,187607,1,18,168375,152212,168375,166375,250000,275000,168350,168375,224500,168375,164815,168400,168375,224500,237400,168375,166875,168250
joint_employed_50k,"Joint applicants, employed, £50k total",275000,241003,1,18,250000,224500,250000,248000,250000,275000,237500,275000,224500,250000,222500,224500,250000,224500,237400,220160,250000,224500
joint_self_employed_50k,"Joint applicants, self-employed, £50k total",275000,209933,1,18,196437,196438,196437,194438,250000,275000,196400,196438,224500,218750,194687,196500,196438,224500,237400,193505,194687,196250
single_employed_60k,"Sole applicant, employed, £60k",330000,296055,1,18,300000,326506,300000,298000,300000,330000,285000,330000,269400,300000,267000,269400,300000,269400,284900,269400,300000,330000
single_self_employed_60k,"Sole applicant, self-employed, £60k",330000,230950,1,18,202050,202050,225000,200050,300000,330000,213750,202050,269400,225000,200250,202100,202050,269400,284900,202050,225000,202000
